Business_Name,User,Rating,Date,Review_Text
KFC Madurai,Manjuparkavi Rajadurai,1.0,6 months ago,Everytime when I order something they used to miss few items... When I register a complaint through the agent they will just simply ask us to mail them and close the complaint conversation ... Such a cheap tactics... How irresponsible the members are? Even delivery partners are fed up with ur service...
KFC Madurai,prashanth chandar k.c.dinakaran,5.0,a year ago,"Large Spacious outlet...had offer of buy 1 get 1 for the day...fanatbulous deal...you guys made my day

tried classic zinger chicken burger(buy 1 get offer)"
KFC Madurai,A K,4.0,6 years ago,"Crispy Fried Chicken & Hot wings were finger licking good.The ambiance,service were good as usual, but the parking is bit tricky they don't have a proper parking space in front of the restaurant only 2 or 3 cars can be parked at a time."
KFC Madurai,Sharmi Vijay,1.0,a year ago,"Kiosk helps in ordering the food; however, you don’t get a sms or a receipt . Not sure how long we have to remember the order number.  Just to show off their metrics , they move the order number from preparing to Ready in 5 mins. But order takes like half an hour. Doesn’t seem professional like the other kfcs.

Look at how they serve the burger. Looks like some buns on the side and the bun is not even hot."
KFC Madurai,Mehjabul Farooque Ak,1.0,7 years ago,"Very worst KFC i ever had. Ordered Big 8, 5 pc grilled, chicken longer, pepsi, and dips. Big 8 broast having too much oil. Grilled chicken is nit up to the mark. Which means masala is not proper. Looks like a local masala. They dont have garlic dips. I'm very much disappointed by having food from here. They're giving like a street food. We can't consider this as a KFC. Because they're having a very low standard attitude."
KFC Madurai,Ramya,1.0,7 months ago,"Really disappointed with food and service, ordered two tandoori zinger meals, the fries were cold and chewy and when asked for fresh fries they almost took 20 minutes, had to walk back and forth multiple times to get fresh fries. The worst KFC I have ever been to."
KFC Madurai,SELVAPRASANTH P,5.0,5 years ago,Neat and clean place having beverages . Administration following social distancing measures.Yummy and tasty dishes.Nice spot for selfies and photoshoot.
KFC Madurai,Shanmuganathan Chokkalingam,3.0,5 months ago,"The quality of food will have to be still better.
Service is not so kind.
Have to improve a lot."
KFC Madurai,DURGA KUMAR,5.0,4 years ago,Hello People❤️ Here the service and food taste too good! You can come here for friends birthday treat😂😂 and the bill amount will be the friend' gift.. Come and Have Funnnn😉 All are good👻
KFC Madurai,Dhanasekar Mobile,1.0,5 months ago,"Too much crowded, staffs not able to handle the order, was waiting for more than 30 minutes for delivery. After having food in KFC, very first time feeling stomach upset 😭😭"
KFC Madurai,Scriven Glef,1.0,5 months ago,"Food here sucks. I've had KFCs in other places, this is the worst kfc branch 🤢. No veggies in veg burger, chicken is also usually rough. Ordered, and they missed to give us pepsi. Burger sucks fr"
KFC Madurai,ritu sm,1.0,8 months ago,"If i could give 0 star i would have !!!!
My brother has been ordering from you guys since a long long time and never once there has been an issue !!!! But dont know what happened to your QC and Quality check person ?!! He is having a severe food poisoning, he is currently admitted ! He is having an important trip to travel this month too
If he doesnt get better , you guys wont be spared !"
KFC Madurai,Yoga anand,1.0,8 months ago,Worst delivery ultimate savings bucket missing very.........worst delivery. Worst........
KFC Madurai,Gokul S,1.0,4 months ago,Appalling machines that don't work (3 out of 4 tried )despite there being no other way to pay for the food with a card. Poor service overall.
KFC Madurai,Sri V,4.0,2 years ago,"KFC's claim to fame is their fried chicken, and it lives up to the hype. The chicken is known for its crispy, flavorful crust and juicy interior. The seasoning is on point, and the sides like fries and mashed potatoes are classic complements. It's a reliable and satisfying fast-food experience.

All are automated... Less interaction with the store employees."
KFC Madurai,Dineshdevi,5.0,5 months ago,Very good choice for dinner.. The homemade hash is a must.. A good varity of choice for all taste
KFC Madurai,Ajithesh Jeyapal,1.0,a year ago,Bypass kfc is very worst when compared to other kfc. Ordered through ZOMATO and they delivered like some leftover chickens which was cold nd dry.
KFC Madurai,Sanjeev Kumar,3.0,2 years ago,The taste is ok. It is not as good as it was hyped. The place is too crowded and took 45 min for the order to arrive. The food is also half cold.
KFC Madurai,sɪᴅᴅʜᴀʀᴛʜ sᴀɴᴋᴀʀ,1.0,a year ago,𝗧𝗵𝗲𝘆 𝘀𝗲𝗿𝘃𝗲𝗱 𝗿𝗼𝘁𝘁𝗼𝗻 𝗮𝗻𝗱 𝘀𝗽𝗼𝗶𝗹 𝗰𝗵𝗶𝗰𝗸𝗲𝗻...𝗦𝗼 𝗽𝗹𝗲𝗮𝘀𝗲 𝗱𝗼𝗻'𝘁 𝗴𝗼 𝘁𝗵𝗲𝗿𝗲 𝘁𝗼 𝗲𝗮𝘁 𝘁𝗼 𝗸𝗳𝗰 𝗰𝗵𝗶𝗰𝗸𝗲𝗻...🙏🙏🙏👎👎👎
KFC Madurai,Ramsy VU3XHZ (RAMSY),2.0,4 months ago,"Ordering systems broken, Poor hygiene in hand wash/room area. Slow service."
KFC Madurai,Jeffrey Aaron,1.0,a year ago,"I have been coming to this kfc for the past 10 years, it has become worse year on year. I feel now it’s peaked.

1. Understaffed - the one who packs, is the one who cleans the table.
2. Worst behavior - the person who cleaned swept the table and pushed the food waste on the floor, when asked to use a tray, he quoted we will finally sweep at night.
3. Dissatisfied food - few pieces were overcooked and some were undercooked. Wish the know the meaning of peri peri seasoning over the chicken, cus it was coated just on one side.
4. Unacceptable atmosphere- flies everywhere, all over the kitchen. The hand wash is the worst filled with crisp of chicken.
5. Dated payment method- only cash payment and no other payment methods.

I couldn’t take in the fact that there is no proper service/ product for the money we pay. KFC is a world wide chain, yet it is so disappointing to see this outlet perform so bad!"
KFC Madurai,Amar Nath,3.0,8 months ago,There was a good meal and nice friendly service and cosy atmosphere but some kids are selling a books inside the dinning area and that kid standing next to the counter long time none of the staffs they not bothered about that but we feel uncomfortable while placing the order...
KFC Madurai,Naveen Pandian Pandiyarajan,1.0,11 months ago,Worst food not cleaned the hair of the chicken leg
KFC Madurai,Pavithra,1.0,6 months ago,"I placed my order a long time ago, but it hasn’t been delivered yet. I already paid through GPay. When I call, no one attends, and there’s no reply to my messages. Very worst service from KFC — they are handling things very poorly."
KFC Madurai,Kamal Kannan,5.0,3 months ago,Good service hygienic food and tast wise good
KFC Madurai,Vijay Bizgurukul,5.0,7 months ago,Kfc bypass road madurai branch manager Mr.arun kumar way of handling customer and hospitality service towards customers is very good and appreciatable
KFC Madurai,ArunDesai Dileep,3.0,Edited 2 years ago,Spacious inside but car parking only available for two cars. Food delivery time can be make even much faster. Worst service ever so much delay in food delivery. Taking around 1 hr to get the food delivered.
KFC Madurai,SURESH BABU,5.0,3 years ago,I am go to first time super experience good quality and food I am watching every people eat in chicken kfc chicken family audience kids like kfc chicken 🍗🍗🍗
KFC Madurai,Surya Surya,5.0,7 months ago,We have a good customer service with any time customer walk with peace full customer handling with good training management
KFC Madurai,Saravanan Setty,5.0,3 years ago,"Has a clean restroom, card payment option is there but if you have an international card it might not work."
KFC Madurai,prabu .M,1.0,a year ago,Please don't trust this franchise. They deliver garbage food. They don't watch the cooking instructions given in the app.they don't care about customer health.
KFC Madurai,aravind aravind,1.0,3 years ago,"Old chicken was served, we just completed...and did not make any issues... they give another chicken and asked sry.. be careful while eating"
KFC Madurai,rajesh kannan,1.0,a year ago,"Madurai bypass KFC provide poor service while billing the card payment is not available and next i ordered burger but cheese stock not available.
REPLY from KFC is has no stock due to month start .
KFC is has not proper status .
Kindly try to maintain it 🙏"
KFC Madurai,Nisheed S,1.0,a year ago,Such disappointment- no proper staffing - only one counter working - and delivery is fully messed up - spend around 50  min for a food parcel pick up - incl waiting at the single counter
KFC Madurai,T Vishva,1.0,4 months ago,Swiggy zomato delivery patners nit responding and food not ready delay staff irresponsible worst kfc ss colony staffs
KFC Madurai,Sophia Rai,4.0,6 years ago,One of my fav forever KFC where ever I go first thing I do is searching of nearby KFC 😊. Service was quick though it was busy weekend. Taste is forever my best & yes I found it’s cheap.
KFC Madurai,Hari Roshan,1.0,11 months ago,"It's really a bad experience. We have not gone there at any odd times or anything. We were inside kfc at 8 pm. We ordered two burgers and wings... The two burgers were very bad.... The cheese in both the burgers were frozen . They were not even melted or even heated. The fried chicken was only a little warm.The mayonnaise was very little inside the burger. Overall it was a VERY WORST EXPERIENCE.... VERY DISAPPOINTED AS A PERSON WHO'S LIVES IN CHENNAI AND HAS EXPERIENCED KFC'S SHOPS THERE...... WORST OF ALL, THE BURGERS WERE NOT EVEN STACKED ON.... THEY WERE NOT JUST RIGHT...."
KFC Madurai,Sanjay,5.0,7 months ago,Staff handling the customer as kindly and friendly and taste atmosphere is really great I love kfc
KFC Madurai,Jillujillu Jillujillu,1.0,10 months ago,Yesterday I had to come kalavasal KFC Really worst experience.. customer dealing is not good .. cashier dealing is very worst .. really really one of my bad experience.. Customers are waiting many hours but staffs are not attending them .. I won't come again .. and can't suggest to friends and families .. I saw some customers getting anger for this 💯
KFC Madurai,SR_ Studioz,1.0,8 months ago,"I ordered and waited for 1 hour but they don't follow the bill numbers, they deliver the food wrong, KFC is very disappointing to me."
KFC Madurai,Hemapriya Anandan,1.0,6 months ago,Please people avoid kfc and also please avoid going WEDNESDAY they give old chicken which is Frozen for 2 to 3 days myself got food poison at this branch if u want to check see the chicken bone it will be black that is the old one I got food poison please don't go
KFC Madurai,Rooban Raj,1.0,3 months ago,I couldn't feel any taste in burger
KFC Madurai,Ananth Kumar,1.0,2 years ago,"I ordered burgers and chicken buckets through app for pick up in KFC, No.61/4B,Byespass road, Madurai and i got one free chicken zinger burger as a compliment from KFC app! But during packing KFC staff of particular branch didnt pack the free burger and i didnt check the contents of my pick up package as a good faith! When i came to my home and i found the free burger is missing! I bought burgers as per kids(mine and my sisters) total count and now I couldn’t give a burger to one of my kid and its completely unacceptable and frustrating how they made fool out of me!! I am living 80 kms away from the particular branch and now how i will go and collect the damn burger? Its totally unacceptable!! Please check every damn order before leaving the counter!!"
KFC Madurai,Nakshatrah R K,1.0,11 months ago,My family and myself are greatly disappointed with the atmosphere over here . Soft drinks are spilled everywhere in the floor and the orders are not taken efficiently . There is no enough manpower. Kindly look into this issue.
KFC Madurai,RAMANAN RAMACHANDRAN,4.0,6 years ago,Good ambience and can accommodate 75 dine in at a time.kids can also. KFC is known for its taste.nothing to yell about ..have neat washrooms.
KFC Madurai,senthil nath,1.0,a year ago,"I visited kfc and waited for order in queue with my 3 year old kid , the executive Ms subhasini informed she can't take order in counter and asked to wait for 5 mins. I waited long and no one even turned up to take my order. I had to leave with disappointment. Very worst customer service. Please improve customer service. Request you take appropriate action on concern staff."
KFC Madurai,Naven kumar,2.0,7 months ago,"Worst experience had in this branch of KFC, no cleanliness no good service and worst maintained restroom"
KFC Madurai,Sri Ram Palanichamy,4.0,4 years ago,Good all features and variety of kfc special food are available
KFC Madurai,Malar Vizhi,5.0,3 months ago,The food is worth but the price is high little bit
